Prov,Provinsi,Tanggal,Max. Tanggal,Running Sum of divaksin2 (ribu),divaksin2 (ribu)
Yogyakarta,Yogyakarta,4/22/2021,4/22/2021,180.883,3.867
Aceh,Aceh,4/23/2021,4/23/2021,84.148,1.243
Bali,Bali,4/23/2021,4/23/2021,218.108,0.984
Bangka Belitung,Bangka Belitung,4/23/2021,4/23/2021,38.34,0.57
Banten,Banten,4/23/2021,4/23/2021,272.588,6.637
Bengkulu,Bengkulu,4/23/2021,4/23/2021,29.334,0.354
Gorontalo,Gorontalo,4/23/2021,4/23/2021,31.815,0.887
Jakarta Raya,Jakarta Raya,4/23/2021,4/23/2021,"1,035.163",32.601
Jambi,Jambi,4/23/2021,4/23/2021,62.006,1.639
Jawa Barat,Jawa Barat,4/23/2021,4/23/2021,"1,019.456",19.359
Jawa Tengah,Jawa Tengah,4/23/2021,4/23/2021,954.845,17.72
Jawa Timur,Jawa Timur,4/23/2021,4/23/2021,"1,005.473",4.889
Kalimantan Barat,Kalimantan Barat,4/23/2021,4/23/2021,79.56,1.852
Kalimantan Selatan,Kalimantan Selatan,4/23/2021,4/23/2021,74.539,0.792
Kalimantan Tengah,Kalimantan Tengah,4/23/2021,4/23/2021,65.948,0.436
Kalimantan Timur,Kalimantan Timur,4/23/2021,4/23/2021,104.94,0.668
Kalimantan Utara,Kalimantan Utara,4/23/2021,4/23/2021,15.235,0.214
Lampung,Lampung,4/23/2021,4/23/2021,117.369,1.966
Maluku,Maluku,4/23/2021,4/23/2021,31.514,0.835
Maluku Utara,Maluku Utara,4/23/2021,4/23/2021,16.397,0.311
Nusa Tenggara Barat,Nusa Tenggara Barat,4/23/2021,4/23/2021,87.255,1.404
Nusa Tenggara Timur,Nusa Tenggara Timur,4/23/2021,4/23/2021,83.576,1.363
Papua,Papua,4/23/2021,4/23/2021,67.25,3.143
Papua Barat,Papua Barat,4/23/2021,4/23/2021,18.55,0.202
Riau,Kepulauan Riau,4/23/2021,4/23/2021,41.976,0.438
Riau,Riau,4/23/2021,4/23/2021,118.599,2.826
Sulawesi Barat,Sulawesi Barat,4/23/2021,4/23/2021,22.468,0.058
Sulawesi Selatan,Sulawesi Selatan,4/23/2021,4/23/2021,228.702,5.915
Sulawesi Tengah,Sulawesi Tengah,4/23/2021,4/23/2021,52.636,0.696
Sulawesi Tenggara,Sulawesi Tenggara,4/23/2021,4/23/2021,38.451,0.558
Sulawesi Utara,Sulawesi Utara,4/23/2021,4/23/2021,86.785,1.015
Sumatera Barat,Sumatera Barat,4/23/2021,4/23/2021,90.042,1.169
Sumatera Selatan,Sumatera Selatan,4/23/2021,4/23/2021,166.372,4.8
Sumatera Utara,Sumatera Utara,4/23/2021,4/23/2021,238.582,5.937
Yogyakarta,Yogyakarta,4/23/2021,4/23/2021,183.112,2.229
Aceh,Aceh,4/24/2021,4/24/2021,84.323,0.175
Bali,Bali,4/24/2021,4/24/2021,218.119,0.011
Bangka Belitung,Bangka Belitung,4/24/2021,4/24/2021,38.601,0.261
Banten,Banten,4/24/2021,4/24/2021,277.055,4.467
Bengkulu,Bengkulu,4/24/2021,4/24/2021,29.583,0.249
Gorontalo,Gorontalo,4/24/2021,4/24/2021,32.005,0.19
Jakarta Raya,Jakarta Raya,4/24/2021,4/24/2021,"1,053.072",17.909
Jambi,Jambi,4/24/2021,4/24/2021,63.403,1.397
Jawa Barat,Jawa Barat,4/24/2021,4/24/2021,"1,031.558",12.102
Jawa Tengah,Jawa Tengah,4/24/2021,4/24/2021,975.414,20.569
Jawa Timur,Jawa Timur,4/24/2021,4/24/2021,"1,011.248",5.775
Kalimantan Barat,Kalimantan Barat,4/24/2021,4/24/2021,80.428,0.868
Kalimantan Selatan,Kalimantan Selatan,4/24/2021,4/24/2021,75.869,1.33
Kalimantan Tengah,Kalimantan Tengah,4/24/2021,4/24/2021,66.299,0.351
Kalimantan Timur,Kalimantan Timur,4/24/2021,4/24/2021,106.545,1.605
Kalimantan Utara,Kalimantan Utara,4/24/2021,4/24/2021,15.548,0.313
Lampung,Lampung,4/24/2021,4/24/2021,118.943,1.574
Maluku,Maluku,4/24/2021,4/24/2021,31.876,0.362
Maluku Utara,Maluku Utara,4/24/2021,4/24/2021,16.526,0.129
Nusa Tenggara Barat,Nusa Tenggara Barat,4/24/2021,4/24/2021,89.675,2.42
Nusa Tenggara Timur,Nusa Tenggara Timur,4/24/2021,4/24/2021,84.642,1.066
Papua,Papua,4/24/2021,4/24/2021,69.634,2.384
Papua Barat,Papua Barat,4/24/2021,4/24/2021,18.728,0.178
Riau,Kepulauan Riau,4/24/2021,4/24/2021,42.152,0.176
Riau,Riau,4/24/2021,4/24/2021,120.558,1.959
Sulawesi Barat,Sulawesi Barat,4/24/2021,4/24/2021,22.576,0.108
Sulawesi Selatan,Sulawesi Selatan,4/24/2021,4/24/2021,234.607,5.905
Sulawesi Tengah,Sulawesi Tengah,4/24/2021,4/24/2021,53.015,0.379
Sulawesi Tenggara,Sulawesi Tenggara,4/24/2021,4/24/2021,38.875,0.424
Sulawesi Utara,Sulawesi Utara,4/24/2021,4/24/2021,86.944,0.159
Sumatera Barat,Sumatera Barat,4/24/2021,4/24/2021,90.976,0.934
Sumatera Selatan,Sumatera Selatan,4/24/2021,4/24/2021,169.813,3.441
Sumatera Utara,Sumatera Utara,4/24/2021,4/24/2021,241.022,2.44
Yogyakarta,Yogyakarta,4/24/2021,4/24/2021,189.536,6.424
Aceh,Aceh,4/25/2021,4/25/2021,84.324,0.001
Bali,Bali,4/25/2021,4/25/2021,218.402,0.283
Banten,Banten,4/25/2021,4/25/2021,277.685,0.63
Bengkulu,Bengkulu,4/25/2021,4/25/2021,29.587,0.004
Jakarta Raya,Jakarta Raya,4/25/2021,4/25/2021,"1,065.435",12.363
Jambi,Jambi,4/25/2021,4/25/2021,63.404,0.001
Jawa Barat,Jawa Barat,4/25/2021,4/25/2021,"1,033.242",1.684
Jawa Tengah,Jawa Tengah,4/25/2021,4/25/2021,979.69,4.276
Jawa Timur,Jawa Timur,4/25/2021,4/25/2021,"1,013.956",2.708
Kalimantan Barat,Kalimantan Barat,4/25/2021,4/25/2021,80.537,0.109
Kalimantan Selatan,Kalimantan Selatan,4/25/2021,4/25/2021,75.895,0.026
Kalimantan Tengah,Kalimantan Tengah,4/25/2021,4/25/2021,66.316,0.017
Kalimantan Timur,Kalimantan Timur,4/25/2021,4/25/2021,106.558,0.013
Kalimantan Utara,Kalimantan Utara,4/25/2021,4/25/2021,15.586,0.038
Lampung,Lampung,4/25/2021,4/25/2021,118.965,0.022
Maluku,Maluku,4/25/2021,4/25/2021,31.876,0
Maluku Utara,Maluku Utara,4/25/2021,4/25/2021,16.54,0.014
Nusa Tenggara Barat,Nusa Tenggara Barat,4/25/2021,4/25/2021,89.68,0.005
Nusa Tenggara Timur,Nusa Tenggara Timur,4/25/2021,4/25/2021,84.642,0
Papua,Papua,4/25/2021,4/25/2021,69.983,0.349
Papua Barat,Papua Barat,4/25/2021,4/25/2021,18.73,0.002
Riau,Kepulauan Riau,4/25/2021,4/25/2021,42.152,0
Riau,Riau,4/25/2021,4/25/2021,120.62,0.062
Sulawesi Barat,Sulawesi Barat,4/25/2021,4/25/2021,22.576,0
Sulawesi Selatan,Sulawesi Selatan,4/25/2021,4/25/2021,234.654,0.047
Sulawesi Tengah,Sulawesi Tengah,4/25/2021,4/25/2021,53.092,0.077
Sulawesi Tenggara,Sulawesi Tenggara,4/25/2021,4/25/2021,38.896,0.021
Sulawesi Utara,Sulawesi Utara,4/25/2021,4/25/2021,87.006,0.062
Sumatera Barat,Sumatera Barat,4/25/2021,4/25/2021,90.982,0.006
Sumatera Selatan,Sumatera Selatan,4/25/2021,4/25/2021,169.893,0.08
Sumatera Utara,Sumatera Utara,4/25/2021,4/25/2021,241.543,0.521
Yogyakarta,Yogyakarta,4/25/2021,4/25/2021,191.436,1.9
Aceh,Aceh,4/26/2021,4/26/2021,86.218,1.894
Bali,Bali,4/26/2021,4/26/2021,232.397,13.995
Bangka Belitung,Bangka Belitung,4/26/2021,4/26/2021,39.085,0.484
Banten,Banten,4/26/2021,4/26/2021,284.557,6.872
Bengkulu,Bengkulu,4/26/2021,4/26/2021,30.972,1.385
Gorontalo,Gorontalo,4/26/2021,4/26/2021,32.865,0.86
Jakarta Raya,Jakarta Raya,4/26/2021,4/26/2021,"1,110.574",45.139
Jambi,Jambi,4/26/2021,4/26/2021,65.604,2.2
Jawa Barat,Jawa Barat,4/26/2021,4/26/2021,"1,057.468",24.226
Jawa Tengah,Jawa Tengah,4/26/2021,4/26/2021,"1,005.632",25.942
Jawa Timur,Jawa Timur,4/26/2021,4/26/2021,"1,032.546",18.59
Kalimantan Barat,Kalimantan Barat,4/26/2021,4/26/2021,82.698,2.161
Kalimantan Selatan,Kalimantan Selatan,4/26/2021,4/26/2021,77.146,1.251
Kalimantan Tengah,Kalimantan Tengah,4/26/2021,4/26/2021,67.116,0.8
Kalimantan Timur,Kalimantan Timur,4/26/2021,4/26/2021,110.524,3.966
Kalimantan Utara,Kalimantan Utara,4/26/2021,4/26/2021,15.783,0.197
Lampung,Lampung,4/26/2021,4/26/2021,121.918,2.953
Maluku,Maluku,4/26/2021,4/26/2021,32.267,0.391
Maluku Utara,Maluku Utara,4/26/2021,4/26/2021,16.944,0.404
Nusa Tenggara Barat,Nusa Tenggara Barat,4/26/2021,4/26/2021,94.866,5.186
Nusa Tenggara Timur,Nusa Tenggara Timur,4/26/2021,4/26/2021,85.626,0.984
Papua,Papua,4/26/2021,4/26/2021,71.933,1.95
Papua Barat,Papua Barat,4/26/2021,4/26/2021,20.014,1.284
Riau,Kepulauan Riau,4/26/2021,4/26/2021,42.689,0.537
Riau,Riau,4/26/2021,4/26/2021,124.056,3.436
Sulawesi Barat,Sulawesi Barat,4/26/2021,4/26/2021,23.039,0.463
Sulawesi Selatan,Sulawesi Selatan,4/26/2021,4/26/2021,241.374,6.72
Sulawesi Tengah,Sulawesi Tengah,4/26/2021,4/26/2021,54.018,0.926
Sulawesi Tenggara,Sulawesi Tenggara,4/26/2021,4/26/2021,39.61,0.714
Sulawesi Utara,Sulawesi Utara,4/26/2021,4/26/2021,87.615,0.609
Sumatera Barat,Sumatera Barat,4/26/2021,4/26/2021,92.395,1.413
Sumatera Selatan,Sumatera Selatan,4/26/2021,4/26/2021,178.18,8.287
Sumatera Utara,Sumatera Utara,4/26/2021,4/26/2021,248.323,6.78
Yogyakarta,Yogyakarta,4/26/2021,4/26/2021,197.799,6.363
Aceh,Aceh,4/27/2021,4/27/2021,87.848,1.63
Bali,Bali,4/27/2021,4/27/2021,243.103,10.706
Bangka Belitung,Bangka Belitung,4/27/2021,4/27/2021,39.468,0.383
Banten,Banten,4/27/2021,4/27/2021,290.638,6.081
Bengkulu,Bengkulu,4/27/2021,4/27/2021,31.844,0.872
Gorontalo,Gorontalo,4/27/2021,4/27/2021,33.428,0.563
Jakarta Raya,Jakarta Raya,4/27/2021,4/27/2021,"1,148.586",38.012
Jambi,Jambi,4/27/2021,4/27/2021,67.7,2.096
Jawa Barat,Jawa Barat,4/27/2021,4/27/2021,"1,082.982",25.514
Jawa Tengah,Jawa Tengah,4/27/2021,4/27/2021,"1,033.049",27.417
Jawa Timur,Jawa Timur,4/27/2021,4/27/2021,"1,053.397",20.851
Kalimantan Barat,Kalimantan Barat,4/27/2021,4/27/2021,84.711,2.013
Kalimantan Selatan,Kalimantan Selatan,4/27/2021,4/27/2021,79.639,2.493
Kalimantan Tengah,Kalimantan Tengah,4/27/2021,4/27/2021,67.618,0.502
Kalimantan Timur,Kalimantan Timur,4/27/2021,4/27/2021,115,4.476
Kalimantan Utara,Kalimantan Utara,4/27/2021,4/27/2021,16.027,0.244
Lampung,Lampung,4/27/2021,4/27/2021,124.603,2.685
Maluku,Maluku,4/27/2021,4/27/2021,32.58,0.313
Maluku Utara,Maluku Utara,4/27/2021,4/27/2021,17.273,0.329
Nusa Tenggara Barat,Nusa Tenggara Barat,4/27/2021,4/27/2021,99.12,4.254
Nusa Tenggara Timur,Nusa Tenggara Timur,4/27/2021,4/27/2021,86.394,0.768
Papua,Papua,4/27/2021,4/27/2021,74.344,2.411
Papua Barat,Papua Barat,4/27/2021,4/27/2021,21.395,1.381
Riau,Kepulauan Riau,4/27/2021,4/27/2021,42.941,0.252
Riau,Riau,4/27/2021,4/27/2021,127.694,3.638
Sulawesi Barat,Sulawesi Barat,4/27/2021,4/27/2021,23.46,0.421
Sulawesi Selatan,Sulawesi Selatan,4/27/2021,4/27/2021,247.567,6.193
Sulawesi Tengah,Sulawesi Tengah,4/27/2021,4/27/2021,54.811,0.793
Sulawesi Tenggara,Sulawesi Tenggara,4/27/2021,4/27/2021,40.081,0.471
Sulawesi Utara,Sulawesi Utara,4/27/2021,4/27/2021,88.158,0.543
Sumatera Barat,Sumatera Barat,4/27/2021,4/27/2021,94.557,2.162
Sumatera Selatan,Sumatera Selatan,4/27/2021,4/27/2021,185.959,7.779
Sumatera Utara,Sumatera Utara,4/27/2021,4/27/2021,254.92,6.597
Yogyakarta,Yogyakarta,4/27/2021,4/27/2021,203.897,6.098
Aceh,Aceh,4/28/2021,4/28/2021,89.101,1.253
Bali,Bali,4/28/2021,4/28/2021,252.276,9.173
Bangka Belitung,Bangka Belitung,4/28/2021,4/28/2021,40.008,0.54
Banten,Banten,4/28/2021,4/28/2021,296.991,6.353
Bengkulu,Bengkulu,4/28/2021,4/28/2021,32.7,0.856
Gorontalo,Gorontalo,4/28/2021,4/28/2021,34.174,0.746
Jakarta Raya,Jakarta Raya,4/28/2021,4/28/2021,"1,188.894",40.308
Jambi,Jambi,4/28/2021,4/28/2021,70.421,2.721
Jawa Barat,Jawa Barat,4/28/2021,4/28/2021,"1,109.226",26.244
Jawa Tengah,Jawa Tengah,4/28/2021,4/28/2021,"1,060.99",27.941
Jawa Timur,Jawa Timur,4/28/2021,4/28/2021,"1,073.511",20.114
Kalimantan Barat,Kalimantan Barat,4/28/2021,4/28/2021,87.36,2.649
Kalimantan Selatan,Kalimantan Selatan,4/28/2021,4/28/2021,81.951,2.312
Kalimantan Tengah,Kalimantan Tengah,4/28/2021,4/28/2021,68.164,0.546
Kalimantan Timur,Kalimantan Timur,4/28/2021,4/28/2021,118.142,3.142
Kalimantan Utara,Kalimantan Utara,4/28/2021,4/28/2021,16.649,0.622
Lampung,Lampung,4/28/2021,4/28/2021,129.584,4.981
Maluku,Maluku,4/28/2021,4/28/2021,33.016,0.436
Maluku Utara,Maluku Utara,4/28/2021,4/28/2021,17.559,0.286
Nusa Tenggara Barat,Nusa Tenggara Barat,4/28/2021,4/28/2021,103.506,4.386
Nusa Tenggara Timur,Nusa Tenggara Timur,4/28/2021,4/28/2021,87.19,0.796
Papua,Papua,4/28/2021,4/28/2021,76.215,1.871
Papua Barat,Papua Barat,4/28/2021,4/28/2021,22.943,1.548
Riau,Kepulauan Riau,4/28/2021,4/28/2021,43.516,0.575
Riau,Riau,4/28/2021,4/28/2021,131.867,4.173
Sulawesi Barat,Sulawesi Barat,4/28/2021,4/28/2021,23.891,0.431
Sulawesi Selatan,Sulawesi Selatan,4/28/2021,4/28/2021,254.428,6.861
Sulawesi Tengah,Sulawesi Tengah,4/28/2021,4/28/2021,55.626,0.815
Sulawesi Tenggara,Sulawesi Tenggara,4/28/2021,4/28/2021,41.22,1.139
Sulawesi Utara,Sulawesi Utara,4/28/2021,4/28/2021,88.581,0.423
Sumatera Barat,Sumatera Barat,4/28/2021,4/28/2021,96.7,2.143
Sumatera Selatan,Sumatera Selatan,4/28/2021,4/28/2021,193.24,7.281
Sumatera Utara,Sumatera Utara,4/28/2021,4/28/2021,262.423,7.503
Yogyakarta,Yogyakarta,4/28/2021,4/28/2021,209.359,5.462
Aceh,Aceh,4/29/2021,4/29/2021,90.065,0.964
Bali,Bali,4/29/2021,4/29/2021,262.327,10.051
Bangka Belitung,Bangka Belitung,4/29/2021,4/29/2021,40.633,0.625
Banten,Banten,4/29/2021,4/29/2021,302.99,5.999
Bengkulu,Bengkulu,4/29/2021,4/29/2021,33.232,0.532
Gorontalo,Gorontalo,4/29/2021,4/29/2021,34.527,0.353
Jakarta Raya,Jakarta Raya,4/29/2021,4/29/2021,"1,220.437",31.543
Jambi,Jambi,4/29/2021,4/29/2021,73.019,2.598
Jawa Barat,Jawa Barat,4/29/2021,4/29/2021,"1,135.141",25.915
Jawa Tengah,Jawa Tengah,4/29/2021,4/29/2021,"1,084.343",23.353
Jawa Timur,Jawa Timur,4/29/2021,4/29/2021,"1,089.522",16.011
Kalimantan Barat,Kalimantan Barat,4/29/2021,4/29/2021,89.645,2.285
Kalimantan Selatan,Kalimantan Selatan,4/29/2021,4/29/2021,84.261,2.31
Kalimantan Tengah,Kalimantan Tengah,4/29/2021,4/29/2021,68.506,0.342
Kalimantan Timur,Kalimantan Timur,4/29/2021,4/29/2021,120.294,2.152
Kalimantan Utara,Kalimantan Utara,4/29/2021,4/29/2021,16.795,0.146
Lampung,Lampung,4/29/2021,4/29/2021,131.919,2.335
Maluku,Maluku,4/29/2021,4/29/2021,33.418,0.402
Maluku Utara,Maluku Utara,4/29/2021,4/29/2021,17.927,0.368
Nusa Tenggara Barat,Nusa Tenggara Barat,4/29/2021,4/29/2021,107.854,4.348
Nusa Tenggara Timur,Nusa Tenggara Timur,4/29/2021,4/29/2021,87.962,0.772
Papua,Papua,4/29/2021,4/29/2021,78.343,2.128
Papua Barat,Papua Barat,4/29/2021,4/29/2021,23.76,0.817
Riau,Kepulauan Riau,4/29/2021,4/29/2021,43.794,0.278
Riau,Riau,4/29/2021,4/29/2021,135.623,3.756
Sulawesi Barat,Sulawesi Barat,4/29/2021,4/29/2021,24.567,0.676
Sulawesi Selatan,Sulawesi Selatan,4/29/2021,4/29/2021,262.795,8.367
Sulawesi Tengah,Sulawesi Tengah,4/29/2021,4/29/2021,56.295,0.669
Sulawesi Tenggara,Sulawesi Tenggara,4/29/2021,4/29/2021,41.987,0.767
Sulawesi Utara,Sulawesi Utara,4/29/2021,4/29/2021,88.957,0.376
Sumatera Barat,Sumatera Barat,4/29/2021,4/29/2021,98.559,1.859
Sumatera Selatan,Sumatera Selatan,4/29/2021,4/29/2021,198.874,5.634
Sumatera Utara,Sumatera Utara,4/29/2021,4/29/2021,269.217,6.794
Yogyakarta,Yogyakarta,4/29/2021,4/29/2021,215.114,5.755
Aceh,Aceh,4/30/2021,4/30/2021,90.32,0.255
Bali,Bali,4/30/2021,4/30/2021,268.286,5.959
Bangka Belitung,Bangka Belitung,4/30/2021,4/30/2021,40.854,0.221
Banten,Banten,4/30/2021,4/30/2021,304.439,1.449
Bengkulu,Bengkulu,4/30/2021,4/30/2021,33.315,0.083
Gorontalo,Gorontalo,4/30/2021,4/30/2021,34.685,0.158
Jakarta Raya,Jakarta Raya,4/30/2021,4/30/2021,"1,237.172",16.735
Jambi,Jambi,4/30/2021,4/30/2021,73.408,0.389
Jawa Barat,Jawa Barat,4/30/2021,4/30/2021,"1,139.25",4.109
Jawa Tengah,Jawa Tengah,4/30/2021,4/30/2021,"1,090.694",6.351
Jawa Timur,Jawa Timur,4/30/2021,4/30/2021,"1,098.058",8.536
Kalimantan Barat,Kalimantan Barat,4/30/2021,4/30/2021,90.092,0.447
Kalimantan Selatan,Kalimantan Selatan,4/30/2021,4/30/2021,84.575,0.314
Kalimantan Tengah,Kalimantan Tengah,4/30/2021,4/30/2021,68.647,0.141
Kalimantan Timur,Kalimantan Timur,4/30/2021,4/30/2021,120.835,0.541
Kalimantan Utara,Kalimantan Utara,4/30/2021,4/30/2021,16.886,0.091
Lampung,Lampung,4/30/2021,4/30/2021,133.002,1.083
Maluku,Maluku,4/30/2021,4/30/2021,33.631,0.213
Maluku Utara,Maluku Utara,4/30/2021,4/30/2021,18.086,0.159
Nusa Tenggara Barat,Nusa Tenggara Barat,4/30/2021,4/30/2021,108.809,0.955
Nusa Tenggara Timur,Nusa Tenggara Timur,4/30/2021,4/30/2021,88.157,0.195
Papua,Papua,4/30/2021,4/30/2021,78.932,0.589
Papua Barat,Papua Barat,4/30/2021,4/30/2021,23.83,0.07
Riau,Kepulauan Riau,4/30/2021,4/30/2021,43.825,0.031
Riau,Riau,4/30/2021,4/30/2021,136.722,1.099
Sulawesi Barat,Sulawesi Barat,4/30/2021,4/30/2021,24.633,0.066
Sulawesi Selatan,Sulawesi Selatan,4/30/2021,4/30/2021,265.519,2.724
Sulawesi Tengah,Sulawesi Tengah,4/30/2021,4/30/2021,56.611,0.316
Sulawesi Tenggara,Sulawesi Tenggara,4/30/2021,4/30/2021,42.059,0.072
Sulawesi Utara,Sulawesi Utara,4/30/2021,4/30/2021,89.091,0.134
Sumatera Barat,Sumatera Barat,4/30/2021,4/30/2021,99.247,0.688
Sumatera Selatan,Sumatera Selatan,4/30/2021,4/30/2021,200.502,1.628
Sumatera Utara,Sumatera Utara,4/30/2021,4/30/2021,271.602,2.385
Yogyakarta,Yogyakarta,4/30/2021,4/30/2021,215.437,0.323
Aceh,Aceh,5/1/2021,5/1/2021,90.408,0.088
Bali,Bali,5/1/2021,5/1/2021,268.973,0.687
Bangka Belitung,Bangka Belitung,5/1/2021,5/1/2021,40.886,0.032
Banten,Banten,5/1/2021,5/1/2021,304.656,0.217
Bengkulu,Bengkulu,5/1/2021,5/1/2021,33.316,0.001
Gorontalo,Gorontalo,5/1/2021,5/1/2021,34.738,0.053
Jakarta Raya,Jakarta Raya,5/1/2021,5/1/2021,"1,250.924",13.752
Jambi,Jambi,5/1/2021,5/1/2021,73.425,0.017
Jawa Barat,Jawa Barat,5/1/2021,5/1/2021,"1,140.79",1.54
Jawa Tengah,Jawa Tengah,5/1/2021,5/1/2021,"1,093.429",2.735
Jawa Timur,Jawa Timur,5/1/2021,5/1/2021,"1,104.634",6.576
Kalimantan Barat,Kalimantan Barat,5/1/2021,5/1/2021,90.135,0.043
Kalimantan Selatan,Kalimantan Selatan,5/1/2021,5/1/2021,84.583,0.008
Kalimantan Tengah,Kalimantan Tengah,5/1/2021,5/1/2021,68.65,0.003
Kalimantan Timur,Kalimantan Timur,5/1/2021,5/1/2021,121.326,0.491
Kalimantan Utara,Kalimantan Utara,5/1/2021,5/1/2021,16.888,0.002
Lampung,Lampung,5/1/2021,5/1/2021,133.167,0.165
Maluku,Maluku,5/1/2021,5/1/2021,33.724,0.093
Maluku Utara,Maluku Utara,5/1/2021,5/1/2021,18.149,0.063
Nusa Tenggara Barat,Nusa Tenggara Barat,5/1/2021,5/1/2021,109.706,0.897
Nusa Tenggara Timur,Nusa Tenggara Timur,5/1/2021,5/1/2021,88.274,0.117
Papua,Papua,5/1/2021,5/1/2021,79.078,0.146
Papua Barat,Papua Barat,5/1/2021,5/1/2021,23.84,0.01
Riau,Kepulauan Riau,5/1/2021,5/1/2021,43.827,0.002
Riau,Riau,5/1/2021,5/1/2021,137.78,1.058
Sulawesi Barat,Sulawesi Barat,5/1/2021,5/1/2021,24.678,0.045
Sulawesi Selatan,Sulawesi Selatan,5/1/2021,5/1/2021,266.094,0.575
Sulawesi Tengah,Sulawesi Tengah,5/1/2021,5/1/2021,56.657,0.046
Sulawesi Tenggara,Sulawesi Tenggara,5/1/2021,5/1/2021,42.249,0.19
Sulawesi Utara,Sulawesi Utara,5/1/2021,5/1/2021,89.111,0.02
Sumatera Barat,Sumatera Barat,5/1/2021,5/1/2021,99.325,0.078
Sumatera Selatan,Sumatera Selatan,5/1/2021,5/1/2021,200.583,0.081
Sumatera Utara,Sumatera Utara,5/1/2021,5/1/2021,272.157,0.555
Yogyakarta,Yogyakarta,5/1/2021,5/1/2021,215.646,0.209
Aceh,Aceh,5/2/2021,5/2/2021,90.409,0.001
Bali,Bali,5/2/2021,5/2/2021,271.092,2.119
Banten,Banten,5/2/2021,5/2/2021,304.733,0.077
Bengkulu,Bengkulu,5/2/2021,5/2/2021,33.316,0
Jakarta Raya,Jakarta Raya,5/2/2021,5/2/2021,"1,262.697",11.773
Jambi,Jambi,5/2/2021,5/2/2021,73.425,0
Jawa Barat,Jawa Barat,5/2/2021,5/2/2021,"1,141.181",0.391
Jawa Tengah,Jawa Tengah,5/2/2021,5/2/2021,"1,095.887",2.458
Jawa Timur,Jawa Timur,5/2/2021,5/2/2021,"1,110.877",6.243
Kalimantan Barat,Kalimantan Barat,5/2/2021,5/2/2021,90.136,0.001
Kalimantan Selatan,Kalimantan Selatan,5/2/2021,5/2/2021,84.601,0.018
Kalimantan Tengah,Kalimantan Tengah,5/2/2021,5/2/2021,68.65,0
Kalimantan Timur,Kalimantan Timur,5/2/2021,5/2/2021,121.516,0.19
Kalimantan Utara,Kalimantan Utara,5/2/2021,5/2/2021,16.888,0
Lampung,Lampung,5/2/2021,5/2/2021,133.169,0.002
Maluku,Maluku,5/2/2021,5/2/2021,33.747,0.023
Maluku Utara,Maluku Utara,5/2/2021,5/2/2021,18.154,0.005
Nusa Tenggara Barat,Nusa Tenggara Barat,5/2/2021,5/2/2021,109.723,0.017
Nusa Tenggara Timur,Nusa Tenggara Timur,5/2/2021,5/2/2021,88.274,0
Papua,Papua,5/2/2021,5/2/2021,79.123,0.045
Papua Barat,Papua Barat,5/2/2021,5/2/2021,23.841,0.001
Riau,Kepulauan Riau,5/2/2021,5/2/2021,43.827,0
Riau,Riau,5/2/2021,5/2/2021,137.974,0.194
Sulawesi Barat,Sulawesi Barat,5/2/2021,5/2/2021,24.678,0
Sulawesi Selatan,Sulawesi Selatan,5/2/2021,5/2/2021,266.116,0.022
Sulawesi Tengah,Sulawesi Tengah,5/2/2021,5/2/2021,56.66,0.003
Sulawesi Tenggara,Sulawesi Tenggara,5/2/2021,5/2/2021,42.27,0.021
Sulawesi Utara,Sulawesi Utara,5/2/2021,5/2/2021,89.113,0.002
Sumatera Barat,Sumatera Barat,5/2/2021,5/2/2021,99.366,0.041
Sumatera Selatan,Sumatera Selatan,5/2/2021,5/2/2021,200.621,0.038
Sumatera Utara,Sumatera Utara,5/2/2021,5/2/2021,272.18,0.023
Yogyakarta,Yogyakarta,5/2/2021,5/2/2021,215.647,0.001
Aceh,Aceh,5/3/2021,5/3/2021,91.241,0.832
Bali,Bali,5/3/2021,5/3/2021,280.818,9.726
Bangka Belitung,Bangka Belitung,5/3/2021,5/3/2021,42.308,1.422
Banten,Banten,5/3/2021,5/3/2021,308.717,3.984
Bengkulu,Bengkulu,5/3/2021,5/3/2021,33.983,0.667
Gorontalo,Gorontalo,5/3/2021,5/3/2021,35.212,0.474
Jakarta Raya,Jakarta Raya,5/3/2021,5/3/2021,"1,292.908",30.211
Jambi,Jambi,5/3/2021,5/3/2021,75.943,2.518
Jawa Barat,Jawa Barat,5/3/2021,5/3/2021,"1,170.249",29.068
Jawa Tengah,Jawa Tengah,5/3/2021,5/3/2021,"1,113.294",17.407
Jawa Timur,Jawa Timur,5/3/2021,5/3/2021,"1,119.954",9.077
Kalimantan Barat,Kalimantan Barat,5/3/2021,5/3/2021,91.756,1.62
Kalimantan Selatan,Kalimantan Selatan,5/3/2021,5/3/2021,86.391,1.79
Kalimantan Tengah,Kalimantan Tengah,5/3/2021,5/3/2021,69.285,0.635
Kalimantan Timur,Kalimantan Timur,5/3/2021,5/3/2021,123.397,1.881
Kalimantan Utara,Kalimantan Utara,5/3/2021,5/3/2021,17.063,0.175
Lampung,Lampung,5/3/2021,5/3/2021,136.201,3.032
Maluku,Maluku,5/3/2021,5/3/2021,34.008,0.261
Maluku Utara,Maluku Utara,5/3/2021,5/3/2021,18.422,0.268
Nusa Tenggara Barat,Nusa Tenggara Barat,5/3/2021,5/3/2021,113.603,3.88
Nusa Tenggara Timur,Nusa Tenggara Timur,5/3/2021,5/3/2021,89.192,0.918
