Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kota Kotamobagu,Sulawesi Utara,1.14%,"23,781"
Kota Kupang,Nusa Tenggara Timur,4.15%,"158,922"
Kota Langsa,Aceh,0.90%,"36,408"
Kota Lhokseumawe,Aceh,0.78%,"31,487"
Kota Lubuk Linggau,Sumatera Selatan,0.55%,"34,428"
Kota Madiun,Jawa Timur,0.24%,"75,873"
Kota Magelang,Jawa Tengah,0.22%,"62,484"
Kota Makassar,Sulawesi Selatan,6.15%,"434,019"
Kota Malang,Jawa Timur,0.97%,"308,202"
Kota Manado,Sulawesi Utara,13.93%,"289,855"
Kota Mataram,Nusa Tenggara Barat,4.38%,"171,201"
Kota Medan,Sumatera Utara,5.68%,"648,445"
Kota Metro,Lampung,0.45%,"29,748"
Kota Mojokerto,Jawa Timur,0.29%,"93,355"
Kota Padang,Sumatera Barat,4.10%,"180,764"
Kota Padang Panjang,Sumatera Barat,0.44%,"19,433"
Kota Padang Sidempuan,Sumatera Utara,0.26%,"29,200"
Kota Pagar Alam,Sumatera Selatan,0.31%,"16,927"
Kota Palangkaraya,Kalimantan Tengah,4.62%,"94,036"
Kota Palembang,Sumatera Selatan,5.38%,"339,369"
Kota Palopo,Sulawesi Selatan,0.53%,"37,487"
Kota Palu,Sulawesi Tengah,4.57%,"97,616"
Kota Pangkal Pinang,Bangka Belitung,5.24%,"59,591"
Kota Pare Pare,Sulawesi Selatan,0.51%,"36,217"
Kota Pariaman,Sumatera Barat,0.26%,"11,528"
Kota Pasuruan,Jawa Timur,0.24%,"75,220"
Kota Payakumbuh,Sumatera Barat,0.57%,"25,294"
Kota Pekalongan,Jawa Tengah,0.21%,"59,630"
Kota Pekanbaru,Riau,6.55%,"317,175"
Kota Pematangsiantar,Sumatera Utara,0.41%,"46,452"
Kota Pontianak,Kalimantan Barat,3.88%,"150,164"
Kota Prabumulih,Sumatera Selatan,0.38%,"24,240"
Kota Probolinggo,Jawa Timur,0.22%,"69,964"
Kota Sabang,Aceh,0.18%,"7,421"
Kota Salatiga,Jawa Tengah,0.40%,"113,979"
Kota Samarinda,Kalimantan Timur,4.19%,"120,528"
Kota Sawahlunto,Sumatera Barat,0.26%,"11,432"
Kota Semarang,Jawa Tengah,2.78%,"799,028"
Kota Serang,Banten,2.02%,"186,109"
Kota Sibolga,Sumatera Utara,0.25%,"28,935"
Kota Singkawang,Kalimantan Barat,0.87%,"33,801"
Kota Solok,Sumatera Barat,0.39%,"17,145"
Kota Sorong,Papua Barat,4.81%,"38,324"
Kota Subulussalam,Aceh,0.23%,"9,270"
Kota Sukabumi,Jawa Barat,0.27%,"101,175"
Kota Sungai Penuh,Jambi,0.73%,"19,506"
Kota Surabaya,Jawa Timur,4.78%,"1,522,155"
Kota Surakarta,Jawa Tengah,1.00%,"287,975"
Kota Tangerang,Banten,6.53%,"602,701"
Kota Tangerang Selatan,Banten,3.60%,"332,383"
Kota Tanjung Balai,Sumatera Utara,0.20%,"23,339"
Kota Tanjung Pinang,Kepulauan Riau,7.88%,"124,630"
Kota Tarakan,Kalimantan Utara,5.49%,"29,947"
Kota Tasikmalaya,Jawa Barat,0.27%,"104,131"
Kota Tebing Tinggi,Sumatera Utara,0.16%,"18,617"
Kota Tegal,Jawa Tengah,0.33%,"95,699"
Kota Ternate,Maluku Utara,2.91%,"27,726"
Kota Tidore Kepulauan,Maluku Utara,1.24%,"11,872"
Kota Tomohon,Sulawesi Utara,2.36%,"49,188"
Kota Tual,Maluku,0.45%,"6,400"
Kota Yogyakarta,Yogyakarta,11.49%,"330,854"
