Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kota Kotamobagu,Sulawesi Utara,1.14%,"23,649"
Kota Kupang,Nusa Tenggara Timur,4.09%,"156,794"
Kota Langsa,Aceh,0.89%,"36,034"
Kota Lhokseumawe,Aceh,0.77%,"30,945"
Kota Lubuk Linggau,Sumatera Selatan,0.54%,"34,329"
Kota Madiun,Jawa Timur,0.24%,"75,329"
Kota Magelang,Jawa Tengah,0.21%,"60,869"
Kota Makassar,Sulawesi Selatan,5.89%,"415,577"
Kota Malang,Jawa Timur,0.95%,"303,036"
Kota Manado,Sulawesi Utara,13.85%,"288,088"
Kota Mataram,Nusa Tenggara Barat,4.32%,"169,123"
Kota Medan,Sumatera Utara,5.57%,"636,538"
Kota Metro,Lampung,0.44%,"29,217"
Kota Mojokerto,Jawa Timur,0.29%,"91,927"
Kota Padang,Sumatera Barat,3.97%,"175,049"
Kota Padang Panjang,Sumatera Barat,0.44%,"19,407"
Kota Padang Sidempuan,Sumatera Utara,0.25%,"28,650"
Kota Pagar Alam,Sumatera Selatan,0.30%,"16,398"
Kota Palangkaraya,Kalimantan Tengah,4.50%,"91,674"
Kota Palembang,Sumatera Selatan,5.26%,"331,728"
Kota Palopo,Sulawesi Selatan,0.52%,"37,045"
Kota Palu,Sulawesi Tengah,4.49%,"95,907"
Kota Pangkal Pinang,Bangka Belitung,5.15%,"58,550"
Kota Pare Pare,Sulawesi Selatan,0.50%,"35,402"
Kota Pariaman,Sumatera Barat,0.26%,"11,250"
Kota Pasuruan,Jawa Timur,0.23%,"73,651"
Kota Payakumbuh,Sumatera Barat,0.56%,"24,617"
Kota Pekalongan,Jawa Tengah,0.20%,"58,156"
Kota Pekanbaru,Riau,6.38%,"308,733"
Kota Pematangsiantar,Sumatera Utara,0.40%,"46,243"
Kota Pontianak,Kalimantan Barat,3.79%,"146,651"
Kota Prabumulih,Sumatera Selatan,0.38%,"23,893"
Kota Probolinggo,Jawa Timur,0.21%,"67,641"
Kota Sabang,Aceh,0.18%,"7,374"
Kota Salatiga,Jawa Tengah,0.37%,"105,638"
Kota Samarinda,Kalimantan Timur,4.07%,"116,856"
Kota Sawahlunto,Sumatera Barat,0.25%,"10,827"
Kota Semarang,Jawa Tengah,2.61%,"750,419"
Kota Serang,Banten,1.81%,"166,943"
Kota Sibolga,Sumatera Utara,0.25%,"28,703"
Kota Singkawang,Kalimantan Barat,0.85%,"33,099"
Kota Solok,Sumatera Barat,0.38%,"16,643"
Kota Sorong,Papua Barat,4.53%,"36,107"
Kota Subulussalam,Aceh,0.22%,"8,946"
Kota Sukabumi,Jawa Barat,0.24%,"91,114"
Kota Sungai Penuh,Jambi,0.71%,"18,957"
Kota Surabaya,Jawa Timur,4.63%,"1,474,955"
Kota Surakarta,Jawa Tengah,0.96%,"275,227"
Kota Tangerang,Banten,6.13%,"565,988"
Kota Tangerang Selatan,Banten,3.35%,"309,288"
Kota Tanjung Balai,Sumatera Utara,0.20%,"23,338"
Kota Tanjung Pinang,Kepulauan Riau,7.73%,"122,192"
Kota Tarakan,Kalimantan Utara,5.42%,"29,553"
Kota Tasikmalaya,Jawa Barat,0.26%,"97,440"
Kota Tebing Tinggi,Sumatera Utara,0.18%,"18,092"
Kota Tegal,Jawa Tengah,0.29%,"83,978"
Kota Ternate,Maluku Utara,2.78%,"26,553"
Kota Tidore Kepulauan,Maluku Utara,1.23%,"11,702"
Kota Tomohon,Sulawesi Utara,2.36%,"49,170"
Kota Tual,Maluku,0.43%,"6,044"
Kota Yogyakarta,Yogyakarta,10.59%,"304,941"
