Kab/kota,Provinsi,Achievement % Vaksin2,Divaksin 2
Kota Kupang,Nusa Tenggara Timur,2.12%,"81,118"
Kota Langsa,Aceh,0.40%,"15,975"
Kota Lhokseumawe,Aceh,0.39%,"15,625"
Kota Lubuk Linggau,Sumatera Selatan,0.35%,"22,014"
Kota Madiun,Jawa Timur,0.14%,"45,583"
Kota Magelang,Jawa Tengah,0.13%,"37,963"
Kota Makassar,Sulawesi Selatan,2.95%,"208,496"
Kota Malang,Jawa Timur,0.31%,"99,928"
Kota Manado,Sulawesi Utara,4.77%,"99,331"
Kota Mataram,Nusa Tenggara Barat,1.99%,"77,772"
Kota Medan,Sumatera Utara,3.51%,"400,901"
Kota Metro,Lampung,0.25%,"16,678"
Kota Mojokerto,Jawa Timur,0.10%,"30,857"
Kota Padang,Sumatera Barat,1.96%,"86,295"
Kota Padang Panjang,Sumatera Barat,0.17%,"7,369"
Kota Padang Sidempuan,Sumatera Utara,0.14%,"15,526"
Kota Pagar Alam,Sumatera Selatan,0.18%,"11,090"
Kota Palangkaraya,Kalimantan Tengah,2.64%,"53,670"
Kota Palembang,Sumatera Selatan,3.08%,"193,977"
Kota Palopo,Sulawesi Selatan,0.29%,"20,668"
Kota Palu,Sulawesi Tengah,2.54%,"54,148"
Kota Pangkal Pinang,Bangka Belitung,2.87%,"32,642"
Kota Pare Pare,Sulawesi Selatan,0.29%,"20,733"
Kota Pariaman,Sumatera Barat,0.12%,"5,195"
Kota Pasuruan,Jawa Timur,0.10%,"32,238"
Kota Payakumbuh,Sumatera Barat,0.27%,"11,732"
Kota Pekalongan,Jawa Tengah,0.12%,"34,727"
Kota Pekanbaru,Riau,4.57%,"221,104"
Kota Pematangsiantar,Sumatera Utara,0.28%,"31,806"
Kota Pontianak,Kalimantan Barat,2.19%,"84,873"
Kota Prabumulih,Sumatera Selatan,0.29%,"18,550"
Kota Probolinggo,Jawa Timur,0.12%,"37,511"
Kota Sabang,Aceh,0.08%,"3,153"
Kota Salatiga,Jawa Tengah,0.18%,"51,809"
Kota Samarinda,Kalimantan Timur,2.48%,"71,174"
Kota Sawahlunto,Sumatera Barat,0.11%,"4,812"
Kota Semarang,Jawa Tengah,1.44%,"412,249"
Kota Serang,Banten,0.79%,"72,742"
Kota Sibolga,Sumatera Utara,0.16%,"18,105"
Kota Singkawang,Kalimantan Barat,0.48%,"18,609"
Kota Solok,Sumatera Barat,0.15%,"6,824"
Kota Sorong,Papua Barat,2.59%,"20,617"
Kota Subulussalam,Aceh,0.10%,"3,914"
Kota Sukabumi,Jawa Barat,0.13%,"50,411"
Kota Sungai Penuh,Jambi,0.26%,"7,104"
Kota Surabaya,Jawa Timur,2.61%,"831,248"
Kota Surakarta,Jawa Tengah,0.65%,"186,305"
Kota Tangerang,Banten,3.47%,"319,949"
Kota Tangerang Selatan,Banten,1.99%,"184,117"
Kota Tanjung Balai,Sumatera Utara,0.11%,"12,774"
Kota Tanjung Pinang,Kepulauan Riau,3.73%,"58,943"
Kota Tarakan,Kalimantan Utara,2.75%,"15,032"
Kota Tasikmalaya,Jawa Barat,0.17%,"62,869"
Kota Tebing Tinggi,Sumatera Utara,0.10%,"11,611"
Kota Tegal,Jawa Tengah,0.16%,"47,383"
Kota Ternate,Maluku Utara,1.42%,"13,521"
Kota Tidore Kepulauan,Maluku Utara,0.65%,"6,157"
Kota Tomohon,Sulawesi Utara,0.78%,"16,152"
Kota Tual,Maluku,0.18%,"2,572"
Kota Yogyakarta,Yogyakarta,4.66%,"134,234"
