Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kota Kotamobagu,Sulawesi Utara,1.15%,"23,885"
Kota Kupang,Nusa Tenggara Timur,4.17%,"159,682"
Kota Langsa,Aceh,0.90%,"36,424"
Kota Lhokseumawe,Aceh,0.78%,"31,561"
Kota Lubuk Linggau,Sumatera Selatan,0.55%,"34,550"
Kota Madiun,Jawa Timur,0.24%,"75,895"
Kota Magelang,Jawa Tengah,0.22%,"62,689"
Kota Makassar,Sulawesi Selatan,6.16%,"435,065"
Kota Malang,Jawa Timur,0.98%,"310,894"
Kota Manado,Sulawesi Utara,13.94%,"290,074"
Kota Mataram,Nusa Tenggara Barat,4.40%,"172,034"
Kota Medan,Sumatera Utara,5.68%,"649,079"
Kota Metro,Lampung,0.45%,"30,040"
Kota Mojokerto,Jawa Timur,0.29%,"93,767"
Kota Padang,Sumatera Barat,4.11%,"181,250"
Kota Padang Panjang,Sumatera Barat,0.44%,"19,491"
Kota Padang Sidempuan,Sumatera Utara,0.26%,"29,205"
Kota Pagar Alam,Sumatera Selatan,0.31%,"16,964"
Kota Palangkaraya,Kalimantan Tengah,4.65%,"94,590"
Kota Palembang,Sumatera Selatan,5.40%,"340,402"
Kota Palopo,Sulawesi Selatan,0.53%,"37,624"
Kota Palu,Sulawesi Tengah,4.59%,"98,076"
Kota Pangkal Pinang,Bangka Belitung,5.24%,"59,661"
Kota Pare Pare,Sulawesi Selatan,0.51%,"36,222"
Kota Pariaman,Sumatera Barat,0.26%,"11,573"
Kota Pasuruan,Jawa Timur,0.24%,"75,422"
Kota Payakumbuh,Sumatera Barat,0.57%,"25,322"
Kota Pekalongan,Jawa Tengah,0.21%,"59,940"
Kota Pekanbaru,Riau,6.57%,"318,178"
Kota Pematangsiantar,Sumatera Utara,0.41%,"46,511"
Kota Pontianak,Kalimantan Barat,3.89%,"150,520"
Kota Prabumulih,Sumatera Selatan,0.38%,"24,240"
Kota Probolinggo,Jawa Timur,0.22%,"70,096"
Kota Sabang,Aceh,0.19%,"7,465"
Kota Salatiga,Jawa Tengah,0.40%,"114,692"
Kota Samarinda,Kalimantan Timur,4.24%,"121,872"
Kota Sawahlunto,Sumatera Barat,0.26%,"11,432"
Kota Semarang,Jawa Tengah,2.80%,"804,660"
Kota Serang,Banten,2.04%,"188,109"
Kota Sibolga,Sumatera Utara,0.25%,"28,946"
Kota Singkawang,Kalimantan Barat,0.87%,"33,813"
Kota Solok,Sumatera Barat,0.39%,"17,216"
Kota Sorong,Papua Barat,4.91%,"39,180"
Kota Subulussalam,Aceh,0.23%,"9,311"
Kota Sukabumi,Jawa Barat,0.27%,"103,550"
Kota Sungai Penuh,Jambi,0.73%,"19,509"
Kota Surabaya,Jawa Timur,4.79%,"1,524,200"
Kota Surakarta,Jawa Tengah,1.01%,"289,686"
Kota Tangerang,Banten,6.58%,"607,235"
Kota Tangerang Selatan,Banten,3.65%,"336,853"
Kota Tanjung Balai,Sumatera Utara,0.20%,"23,339"
Kota Tanjung Pinang,Kepulauan Riau,7.88%,"124,640"
Kota Tarakan,Kalimantan Utara,5.50%,"30,001"
Kota Tasikmalaya,Jawa Barat,0.28%,"104,486"
Kota Tebing Tinggi,Sumatera Utara,0.16%,"18,621"
Kota Tegal,Jawa Tengah,0.34%,"98,183"
Kota Ternate,Maluku Utara,2.92%,"27,888"
Kota Tidore Kepulauan,Maluku Utara,1.25%,"11,955"
Kota Tomohon,Sulawesi Utara,2.36%,"49,189"
Kota Tual,Maluku,0.46%,"6,463"
Kota Yogyakarta,Yogyakarta,11.63%,"334,942"
