Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kota Kotamobagu,Sulawesi Utara,1.16%,"24,043"
Kota Kupang,Nusa Tenggara Timur,4.26%,"163,323"
Kota Langsa,Aceh,0.91%,"36,817"
Kota Lhokseumawe,Aceh,0.80%,"32,244"
Kota Lubuk Linggau,Sumatera Selatan,0.55%,"34,580"
Kota Madiun,Jawa Timur,0.25%,"78,168"
Kota Magelang,Jawa Tengah,0.23%,"64,787"
Kota Makassar,Sulawesi Selatan,6.25%,"441,349"
Kota Malang,Jawa Timur,1.01%,"321,132"
Kota Manado,Sulawesi Utara,14.00%,"291,347"
Kota Mataram,Nusa Tenggara Barat,4.43%,"173,366"
Kota Medan,Sumatera Utara,5.74%,"655,727"
Kota Metro,Lampung,0.49%,"32,277"
Kota Mojokerto,Jawa Timur,0.30%,"94,891"
Kota Padang,Sumatera Barat,4.18%,"184,070"
Kota Padang Panjang,Sumatera Barat,0.44%,"19,582"
Kota Padang Sidempuan,Sumatera Utara,0.26%,"29,286"
Kota Pagar Alam,Sumatera Selatan,0.27%,"17,277"
Kota Palangkaraya,Kalimantan Tengah,4.69%,"95,403"
Kota Palembang,Sumatera Selatan,5.46%,"344,434"
Kota Palopo,Sulawesi Selatan,0.54%,"37,855"
Kota Palu,Sulawesi Tengah,4.68%,"100,002"
Kota Pangkal Pinang,Bangka Belitung,5.30%,"60,304"
Kota Pare Pare,Sulawesi Selatan,0.51%,"36,250"
Kota Pariaman,Sumatera Barat,0.27%,"11,711"
Kota Pasuruan,Jawa Timur,0.24%,"76,380"
Kota Payakumbuh,Sumatera Barat,0.58%,"25,610"
Kota Pekalongan,Jawa Tengah,0.21%,"60,420"
Kota Pekanbaru,Riau,6.72%,"325,498"
Kota Pematangsiantar,Sumatera Utara,0.42%,"47,524"
Kota Pontianak,Kalimantan Barat,3.93%,"152,122"
Kota Prabumulih,Sumatera Selatan,0.39%,"24,566"
Kota Probolinggo,Jawa Timur,0.22%,"71,288"
Kota Sabang,Aceh,0.19%,"7,514"
Kota Salatiga,Jawa Tengah,0.41%,"116,865"
Kota Samarinda,Kalimantan Timur,4.34%,"124,778"
Kota Sawahlunto,Sumatera Barat,0.26%,"11,475"
Kota Semarang,Jawa Tengah,2.86%,"822,887"
Kota Serang,Banten,2.26%,"208,263"
Kota Sibolga,Sumatera Utara,0.26%,"29,713"
Kota Singkawang,Kalimantan Barat,0.88%,"33,915"
Kota Solok,Sumatera Barat,0.40%,"17,526"
Kota Sorong,Papua Barat,5.20%,"41,454"
Kota Subulussalam,Aceh,0.24%,"9,626"
Kota Sukabumi,Jawa Barat,0.30%,"114,434"
Kota Sungai Penuh,Jambi,0.73%,"19,735"
Kota Surabaya,Jawa Timur,4.85%,"1,544,981"
Kota Surakarta,Jawa Tengah,1.02%,"293,966"
Kota Tangerang,Banten,6.89%,"635,733"
Kota Tangerang Selatan,Banten,3.86%,"355,849"
Kota Tanjung Balai,Sumatera Utara,0.20%,"23,373"
Kota Tanjung Pinang,Kepulauan Riau,7.94%,"125,523"
Kota Tarakan,Kalimantan Utara,5.60%,"30,572"
Kota Tasikmalaya,Jawa Barat,0.28%,"106,675"
Kota Tebing Tinggi,Sumatera Utara,0.17%,"18,884"
Kota Tegal,Jawa Tengah,0.38%,"110,593"
Kota Ternate,Maluku Utara,3.04%,"29,017"
Kota Tidore Kepulauan,Maluku Utara,1.27%,"12,142"
Kota Tomohon,Sulawesi Utara,2.37%,"49,213"
Kota Tual,Maluku,0.48%,"6,847"
Kota Yogyakarta,Yogyakarta,12.17%,"350,538"
